Datum;MengeKum;Einheit;Preis;Produkt;Umsatz;Bestand_Einheit;Bestand_Preis
15/11/2015;25.000;Kilo;3.15;Arborio Reis;78.75;25.000;78.75
15/11/2015;20.000;Liter;5.39;Back-/Bratöl, EU;107.80;20.000;107.80
15/11/2015;25.000;Kilo;2.29;Couscous;57.25;25.000;57.25
15/11/2015;25.000;Kilo;1.93;Goldhirse;48.25;25.000;48.25
15/11/2015;25.000;Kilo;1.54;Haferflocken;38.50;25.000;38.50
15/11/2015;25.000;Kilo;2.29;Kichererbsen;57.25;25.000;57.25
15/11/2015;15.000;Kilo;2.29;Penne semoltano;34.35;15.000;34.35
15/11/2015;25.000;Kilo;2.45;Rohrohrzucker;61.25;25.000;61.25
15/11/2015;25.000;Kilo;3.04;Rote Linsen;76.00;25.000;76.00
15/11/2015;8.000;Kilo;15.09;Samba – Schokoaufstrich;120.72;8.000;120.72
15/11/2015;25.000;Kilo;4.00;Sesam;100.00;25.000;100.00
15/11/2015;25.000;Kilo;2.50;Sonnenblumenkerne;62.50;25.000;62.50
15/11/2015;20.000;Liter;3.25;Sonnenblumenöl, EU ;65.00;20.000;65.00
15/11/2015;15.000;Kilo;2.29;Spaghetti semoltano;34.35;15.000;34.35
15/11/2015;12.500;Kilo;3.95;Weinbeeren;49.38;12.500;49.38
15/11/2015;25.000;Kilo;2.93;brauner Basmati;73.25;25.000;73.25
15/11/2015;25.000;Kilo;3.36;weißer Basmati;84.00;25.000;84.00
17/11/2015;25.000;Kilo;4.60;Beluglinsen;115.00;25.000;115.00
17/11/2015;10.000;Kilo;3.80;Borlottibohnen;38.00;10.000;38.00
17/11/2015;25.000;Kilo;3.40;Braunhirse;85.00;25.000;85.00
17/11/2015;25.000;Kilo;3.40;Buchweizen;85.00;25.000;85.00
17/11/2015;50.000;Kilo;2.00;Dinkel;100.00;50.000;100.00
17/11/2015;50.000;Kilo;2.10;Hafer;105.00;50.000;105.00
17/11/2015;25.000;Kilo;3.20;Polenta;80.00;25.000;80.00
17/11/2015;50.000;Kilo;1.20;Roggen;60.00;50.000;60.00
17/11/2015;25.000;Kilo;12.00;Sonnenblütenhonig;300.00;25.000;300.00
17/11/2015;25.000;Kilo;4.50;Tellerlinsen;112.50;25.000;112.50
17/11/2015;50.000;Kilo;1.26;Weizen;63.00;50.000;63.00
19/11/2015;-1.500;Liter;5.39;Back-/Bratöl, EU;-8.09;18.500;99.71
19/11/2015;-0.500;Kilo;3.40;Braunhirse;-1.70;24.500;83.30
19/11/2015;-1.006;Kilo;3.40;Buchweizen;-3.42;23.994;81.58
19/11/2015;-0.350;Kilo;2.29;Couscous;-0.80;24.650;56.45
19/11/2015;-0.552;Kilo;2.00;Dinkel;-1.10;49.448;98.90
19/11/2015;-0.700;Kilo;2.10;Hafer;-1.47;49.300;103.53
19/11/2015;-0.656;Kilo;1.54;Haferflocken;-1.01;24.344;37.49
19/11/2015;-1.629;Kilo;2.45;Rohrohrzucker;-3.99;23.371;57.26
19/11/2015;-0.428;Kilo;15.09;Samba – Schokoaufstrich;-6.46;7.572;114.26
19/11/2015;-0.408;Kilo;4.00;Sesam;-1.63;24.592;98.37
19/11/2015;-0.342;Kilo;3.95;Weinbeeren;-1.35;12.158;48.02
19/11/2015;-1.186;Kilo;2.93;brauner Basmati;-3.47;23.814;69.78
19/11/2015;-0.472;Kilo;3.36;weißer Basmati;-1.59;24.528;82.41
19/11/2015;-1.240;Kilo;2.50;Sonnenblumenkerne;-3.10;23.760;59.40
19/11/2015;-0.538;Kilo;4.50;Tellerlinsen;-2.42;24.462;110.08
20/11/2015;-0.570;Kilo;4.60;Beluglinsen;-2.62;24.430;112.38
20/11/2015;-0.304;Kilo;3.40;Braunhirse;-1.03;24.196;82.27
20/11/2015;-0.556;Kilo;3.40;Buchweizen;-1.89;23.438;79.69
20/11/2015;-0.550;Kilo;3.20;Polenta;-1.76;24.450;78.24
20/11/2015;-0.374;Kilo;2.45;Rohrohrzucker;-0.92;22.997;56.34
20/11/2015;-0.692;Kilo;3.04;Rote Linsen;-2.10;24.308;73.90
20/11/2015;-0.286;Kilo;2.50;Sonnenblumenkerne;-0.72;23.474;58.69
20/11/2015;-1.000;Liter;3.25;Sonnenblumenöl, EU ;-3.25;19.000;61.75
20/11/2015;-0.856;Kilo;3.15;Arborio Reis;-2.70;24.144;76.05
20/11/2015;-0.685;Liter;5.39;Back-/Bratöl, EU;-3.69;17.815;96.02
20/11/2015;-0.976;Kilo;3.80;Borlottibohnen;-3.71;9.024;34.29
20/11/2015;-0.858;Kilo;2.29;Couscous;-1.96;23.792;54.48
20/11/2015;-3.864;Kilo;2.00;Dinkel;-7.73;45.584;91.17
20/11/2015;-0.912;Kilo;1.93;Goldhirse;-1.76;24.088;46.49
20/11/2015;-0.856;Kilo;2.10;Hafer;-1.80;48.444;101.73
20/11/2015;-1.660;Kilo;2.29;Kichererbsen;-3.80;23.340;53.45
20/11/2015;-0.974;Kilo;2.29;Penne semoltano;-2.23;14.026;32.12
20/11/2015;-0.180;Kilo;15.09;Samba – Schokoaufstrich;-2.72;7.392;111.55
20/11/2015;-0.884;Kilo;2.29;Spaghetti semoltano;-2.02;14.116;32.33
20/11/2015;-0.660;Kilo;3.95;Weinbeeren;-2.61;11.498;45.42
20/11/2015;-0.974;Kilo;2.93;brauner Basmati;-2.85;22.840;66.92
