Produkte_App;Produkte_Zusammenfassung;Lieferant;Lieferant2;Produktgruppe;Verpackungseinheit
Allesreiniger;Allesreiniger;Sonett;;Putzequipment;10
Apfelessig;Apfelessig;OBEG;;Öl und Essig;5
Arborio Reis;Rundkornreis;OBEG;Bode;Grundnahrungsmittel;25
Back-/Bratöl, EU;Bratöl;OBEG;Naturata;Öl und Essig;10
Basilikum;Basilikum;Bode;;Gewürze;1
Basitom;Basitom;Bode;;Aufstriche;6
Basmati Braun;Langkornreis Natur;OBEG;Bode;Grundnahrungsmittel;25
Basmati Weiß;Basmati Weiß;Bode;;Grundnahrungsmittel;25
Beluglinsen;Linsen Beluga;Biohof Lex;;Hülsenfrüchte;25
Blaumohn;Blaumohn;Bode;;Ölsaaten und Nüsse;5
Bockshornklee Ganz;Bockshornklee Ganz;Sahana-Eliya e.V;Bode;Gewürze;1
Bohnen;Bohnen schwarz;Wolfgang Hees;;Hülsenfrüchte;25
Bohnen Borlotti;Bohnen Borlotti;Biohof Lex;;Hülsenfrüchte;25
Borlottibohnen;Bohnen Borlotti;Biohof Lex;;Hülsenfrüchte;25
Braune Linsen;Linsen Braun;Biohof Lex;;Hülsenfrüchte;25
brauner Basmati;Langkornreis Natur;OBEG;Bode;Grundnahrungsmittel;25
Braunhirse;Hirse Braun;Biohof Lex;;Grundnahrungsmittel;25
Buchweizen;Buchweizen;Biohof Lex;OBEG;Grundnahrungsmittel;25
Buchweizenmehl;Buchweizenmehl;Bode;;Grundnahrungsmittel;1
Cashews;Cashews;Cashew4You;;Ölsaaten und Nüsse;25
Chilli Gemahlen;Chilli Gemahlen;Sahana-Eliya e.V;Bode;Gewürze;1
Couscous;Couscous;Bode;;Grundnahrungsmittel;25
Currychini;Currychini;Bode;;Aufstriche;6
Dinkel;Dinkel;Luzernenhof;;Grundnahrungsmittel;25
Dinkel Drink;Drink Dinkel;Hofgut Storzeln;;Drinks, Säfte, Kaffee;10
Drink Buchweizen;Drink Buchweizen;Hofgut Storzeln;;Drinks, Säfte, Kaffee;10
Drink Dinkel;Drink Dinkel;Hofgut Storzeln;;Drinks, Säfte, Kaffee;10
Drink Hafer;Drink Hafer;Hofgut Storzeln;;Drinks, Säfte, Kaffee;10
Drink Soja;Drink Soja;Hofgut Storzeln;;Drinks, Säfte, Kaffee;10
Erdnussmus;Erdnussmus;Rapunzel;Bode;Aufstriche;10
Gemüsebrühe;Gemüsebrühe;Naturata;;Sonstiges;10
Getrocknete Äpfel;Getrocknetes Gemüse;Sonnenobst;;Sonstiges;10
Getrocknete Paprika;Getrocknetes Gemüse;Sonnenobst;;Sonstiges;10
Getrocknetes Gemüse;Getrocknetes Gemüse;Sonnenobst;;Sonstiges;10
Goldhirse;Hirse Gold;Biohof Lex;OBEG;Grundnahrungsmittel;25
Goldhirse Neu;Hirse Gold;Biohof Lex;OBEG;Grundnahrungsmittel;25
Grünkern;Grünkern;OBEG;;Grundnahrungsmittel;25
Hafer;Hafer;Luzernenhof;;Grundnahrungsmittel;25
Hafer Drink;Drink Hafer;Hofgut Storzeln;;Drinks, Säfte, Kaffee;10
Haferflocken;Haferflocken;OBEG;;Grundnahrungsmittel;25
