"","Produkte_App","Produkte_Zusammenfassung","Lieferant","Lieferant2","Produktgruppe","Verpackungseinheit"
"1","Allesreiniger","Allesreiniger","Sonett","","Putzequipment",10
"2","Apfelessig","Apfelessig","OBEG","","Öl und Essig",5
"3","Arborio Reis","Rundkornreis","OBEG","Bode","Grundnahrungsmittel",25
"4","Back-/Bratöl, EU","Bratöl","OBEG","Naturata","Öl und Essig",10
"5","Basilikum","Basilikum","Bode","","Gewürze",1
"6","Basitom","Basitom","Bode","","Aufstriche",6
"7","Basmati Braun","Langkornreis Natur","OBEG","Bode","Grundnahrungsmittel",25
"8","Basmati Weiß","Basmati Weiß","Bode","","Grundnahrungsmittel",25
"9","Beluglinsen","Linsen Beluga","Biohof Lex","","Hülsenfrüchte",25
"10","Blaumohn","Blaumohn","Bode","","Ölsaaten und Nüsse",5
"11","Bockshornklee Ganz","Bockshornklee Ganz","Sahana-Eliya e.V","Bode","Gewürze",1
"12","Bohnen","Bohnen schwarz","Wolfgang Hees","","Hülsenfrüchte",25
"13","Bohnen Borlotti","Bohnen Borlotti","Biohof Lex","","Hülsenfrüchte",25
"14","Borlottibohnen","Bohnen Borlotti","Biohof Lex","","Hülsenfrüchte",25
"15","Braune Linsen","Linsen Braun","Biohof Lex","","Hülsenfrüchte",25
"16","brauner Basmati","Langkornreis Natur","OBEG","Bode","Grundnahrungsmittel",25
"17","Braunhirse","Hirse Braun","Biohof Lex","","Grundnahrungsmittel",25
"18","Buchweizen","Buchweizen","Biohof Lex","OBEG","Grundnahrungsmittel",25
"19","Buchweizenmehl","Buchweizenmehl","Bode","","Grundnahrungsmittel",1
"20","Cashews","Cashews","Cashew4You","","Ölsaaten und Nüsse",25
"21","Chilli Gemahlen","Chilli Gemahlen","Sahana-Eliya e.V","Bode","Gewürze",1
"22","Couscous","Couscous","Bode","","Grundnahrungsmittel",25
"23","Currychini","Currychini","Bode","","Aufstriche",6
"24","Dinkel","Dinkel","Luzernenhof","","Grundnahrungsmittel",25
"25","Dinkel Drink","Drink Dinkel","Hofgut Storzeln","","Drinks, Säfte, Kaffee",10
"26","Drink Buchweizen","Drink Buchweizen","Hofgut Storzeln","","Drinks, Säfte, Kaffee",10
"27","Drink Dinkel","Drink Dinkel","Hofgut Storzeln","","Drinks, Säfte, Kaffee",10
"28","Drink Hafer","Drink Hafer","Hofgut Storzeln","","Drinks, Säfte, Kaffee",10
"29","Drink Soja","Drink Soja","Hofgut Storzeln","","Drinks, Säfte, Kaffee",10
"30","Erdnussmus","Erdnussmus","Rapunzel","Bode","Aufstriche",10
"31","Gemüsebrühe","Gemüsebrühe","Naturata","","Sonstiges",10
"32","Getrocknete Äpfel","Getrocknetes Gemüse","Sonnenobst","","Sonstiges",10
"33","Getrocknete Paprika","Getrocknetes Gemüse","Sonnenobst","","Sonstiges",10
"34","Getrocknetes Gemüse","Getrocknetes Gemüse","Sonnenobst","","Sonstiges",10
"35","Goldhirse","Hirse Gold","Biohof Lex","OBEG","Grundnahrungsmittel",25
"36","Goldhirse Neu","Hirse Gold","Biohof Lex","OBEG","Grundnahrungsmittel",25
"37","Grünkern","Grünkern","OBEG","","Grundnahrungsmittel",25
"38","Hafer","Hafer","Luzernenhof","","Grundnahrungsmittel",25
"39","Hafer Drink","Drink Hafer","Hofgut Storzeln","","Drinks, Säfte, Kaffee",10
"40","Haferflocken","Haferflocken","OBEG","","Grundnahrungsmittel",25
"41","Haselnüsse geschält","Haselnüsse","Hofgut Unterbach","","Ölsaaten und Nüsse",25
"42","Hirse Braun","Hirse Braun","Biohof Lex","OBEG","Grundnahrungsmittel",25
"43","Honig","Honig","Erik","","Sonstiges",10
"44","Ingwer Gemahlen","Ingwer Gemahlen","Sahana-Eliya e.V","Bode","Gewürze",1
"45","Kaffee Espresso","Kaffee Espresso","Elephant Beans","","Drinks, Säfte, Kaffee",5
"46","Kaffee Geröstet","Kaffee Zumba","Elephant Beans","","Drinks, Säfte, Kaffee",5
"47","Kaffee roh","Kaffee roh","Sahana-Eliya e.V","","Drinks, Säfte, Kaffee",1
"48","Kaffe Espresso","Kaffee Espresso","Elephant Beans","","Drinks, Säfte, Kaffee",5
"49","Kaffee Zumba","Kaffee Zumba","Elephant Beans","","Drinks, Säfte, Kaffee",5
"50","Kaffe Zumba","Kaffee Zumba","Elephant Beans","","Drinks, Säfte, Kaffee",5
"51","Kardamom Ganz","Kardamom Ganz","Sahana-Eliya e.V","Bode","Gewürze",1
"52","Kichererbsen","Kichererbsen","Bode","","Grundnahrungsmittel",25
"53","Kokosfett","Kokosfett","Naturata","","Sonstiges",10
"54","Koriander Ganz","Koriander Ganz","Sahana-Eliya e.V","Bode","Gewürze",1
"55","Koriander Gemahlen","Koriander Gemahlen","Sahana-Eliya e.V","Bode","Gewürze",1
"56","Kräuter der Provence","Kräuter der Provence","Bode","","Gewürze",1
"57","Kreuzkümmel Ganz","Kreuzkümmel Ganz","Sahana-Eliya e.V","Bode","Gewürze",1
"58","Kreuzkümmel Gemahlen","Kreuzkümmel Gemahlen","Sahana-Eliya e.V","Bode","Gewürze",1
"59","Kümmel","Kümmel","OBEG","Bode","Gewürze",5
"60","Kürbiskerne","Kürbiskerne","OBEG","Schnells Kürbiskerne","Ölsaaten und Nüsse",25
"61","Kurkuma Gemahlen","Kurkuma Gemahlen","Sahana-Eliya e.V","Bode","Gewürze",1
"62","Langkornreis Natur","Langkornreis Natur","OBEG","Bode","Grundnahrungsmittel",25
"63","Leinsamen","Leinsamen","OBEG","","Ölsaaten und Nüsse",25
"64","Linsen Beluga","Linsen Beluga","Biohof Lex","","Hülsenfrüchte",25
"65","Linsen Braun","Linsen Braun","Biohof Lex","","Hülsenfrüchte",25
"66","Mandelmus","Mandelmus","Rapunzel","Bode","Aufstriche",10
"67","Mepfel","Mepfel","Bode","","Aufstriche",6
"68","Olivenöl","Olivenöl","OBEG","Naturata","Öl und Essig",5
"69","Oregano","Oregano","Bode","","Gewürze",1
"70","Paprika Edelsüß","Paprika Edelsüß","Bode","","Gewürze",1
"71","Penne semoltano","Nudeln vom Grosshandel","Naturata","Bode","Grundnahrungsmittel",5
"72","Pfeffer Schwarz Ganz","Pfeffer Schwarz Ganz","Sahana-Eliya e.V","Bode","Gewürze",1
"73","Polenta","Polenta","OBEG","Biohof Lex","Grundnahrungsmittel",25
