"","Produkte"
"1","Allesreiniger"
"2","Apfelessig"
"3","Basilikum"
"4","Basitom"
"5","Basmati.Braun"
"6","Basmati.Weiss"
"7","Blaumohn"
"8","Bockshornklee Ganz"
"9","Bohnen"
"10","Bohnen.Borlotti"
"11","BratoelDavert"
"12","Buchweizen"
"13","Buchweizenmehl"
"14","Cashews"
"15","Chilli Gemahlen"
"16","Couscous"
"17","Currychini"
"18","Dinkel"
"19","Drink Buchweizen"
"20","Drink.Dinkel"
"21","Drink.Hafer"
"22","Drink.Soja"
"23","Erdnussmus"
"24","Espresso"
"25","Gemüsebrühe"
"26","Getrocknetes.Gemuese"
"27","Grünkern"
"28","Hafer"
"29","Haferflocken"
"30","Haselnüsse geschält"
"31","Hirse.Braun"
"32","Hirse.Gold"
"33","Honig"
"34","Ingwer Gemahlen"
"35","Kaffee"
"36","Kaffee roh"
"37","Kardamom Ganz"
"38","Kichererbsen"
"39","Kokosfett"
"40","Koriander Ganz"
"41","Koriander Gemahlen"
"42","Kräuter der Provence"
"43","Kreuzkümmel Ganz"
"44","Kreuzkümmel Gemahlen"
"45","Kümmel"
"46","Kürbiskerne"
"47","Kurkuma Gemahlen"
"48","Leinsamen"
"49","Linsen.Beluga"
"50","Linsen.Braun"
"51","Linsen.Rot"
"52","Mandelmus"
"53","Mepfel"
"54","Nudeln"
"55","Olivenöl"
"56","Oregano"
"57","Paprika Edelsüß"
"58","Pfeffer Schwarz Ganz"
"59","Polenta"
"60","Rapsöl"
"61","Risottoreis"
"62","Roggen"
"63","Rosinen"
"64","Rosmarin"
"65","Rote Beete Meerettich"
"66","Saft Apfel"
"67","Saft Apfel-Birne"
"68","Saft Apfel-Möhre"
"69","Saft Trauben"
"70","Salz"
"71","Samba"
"72","Schwarzkümmel"
"73","Sendi"
"74","Senf Kirsche"
"75","Senfkörner"
"76","Senf Mango"
"77","Senf Sarepta"
"78","Sesam"
"79","Sonnenblumenkerne"
"80","Sonnenblumenoel"
"81","Spaghetti"
"82","Spuelmittel.Hand"
"83","Spülmittel Maschine"
"84","Thymian"
"85","Tomatenmark"
"86","Tomatenpassata"
"87","VollkornreisItalien"
"88","Walnüsse"
"89","Waschmittel Lavendel"
"90","Waschmittel.Pulver"
"91","Waschmittel Seide/Wolle"
"92","Waschmittel Sensitiv"
"93","Weizen"
"94","Zimt Ganz"
"95","Zimt Gemahlen"
"96","Zucker"
"97","Zwiebelschmelz"
